type,rank,id,score,file_path,nearest_id,label,nearest_label,label_conflict,reason
dup,1,train_00666,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank001_dup1p000_train_00666__nearest_train_01056.png,train_01056,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9877; dup_source=phash
dup,12,train_01075,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank012_dup1p000_train_01075__nearest_train_01202.png,train_01202,1,1,False,dup_score=1.0000; nearest_cos_sim=0.9835; dup_source=phash
dup,13,train_00580,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank013_dup1p000_train_00580__nearest_train_00028.png,train_00028,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9429; dup_source=phash
dup,14,train_01079,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank014_dup1p000_train_01079__nearest_train_00671.png,train_00671,1,1,False,dup_score=1.0000; nearest_cos_sim=0.9976; dup_source=phash
dup,15,train_01088,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank015_dup1p000_train_01088__nearest_train_00608.png,train_00608,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9959; dup_source=phash
dup,16,train_00508,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank016_dup1p000_train_00508__nearest_train_01250.png,train_01250,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9506; dup_source=phash
dup,17,train_00502,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank017_dup1p000_train_00502__nearest_train_00027.png,train_00027,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9908; dup_source=phash
dup,18,train_00495,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank018_dup1p000_train_00495__nearest_train_00401.png,train_00401,1,1,False,dup_score=1.0000; nearest_cos_sim=0.9448; dup_source=phash
dup,19,train_00489,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank019_dup1p000_train_00489__nearest_train_00784.png,train_00784,0,1,True,dup_score=1.0000; nearest_cos_sim=0.9933; dup_source=phash
dup,20,train_00477,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank020_dup1p000_train_00477__nearest_train_00657.png,train_00657,1,1,False,dup_score=1.0000; nearest_cos_sim=0.9986; dup_source=phash
dup,21,train_00476,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank021_dup1p000_train_00476__nearest_train_00229.png,train_00229,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9953; dup_source=phash
dup,22,train_01118,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank022_dup1p000_train_01118__nearest_train_00042.png,train_00042,1,0,True,dup_score=1.0000; nearest_cos_sim=0.9954; dup_source=phash
dup,23,train_00465,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank023_dup1p000_train_00465__nearest_train_00175.png,train_00175,1,1,False,dup_score=1.0000; nearest_cos_sim=0.9148; dup_source=phash
dup,24,train_00657,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank024_dup1p000_train_00657__nearest_train_00477.png,train_00477,1,1,False,dup_score=1.0000; nearest_cos_sim=0.9986; dup_source=phash
dup,25,train_00664,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank025_dup1p000_train_00664__nearest_train_01325.png,train_01325,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9874; dup_source=phash
dup,26,train_00984,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank026_dup1p000_train_00984__nearest_train_00670.png,train_00670,1,1,False,dup_score=1.0000; nearest_cos_sim=0.9865; dup_source=phash
dup,27,train_00784,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank027_dup1p000_train_00784__nearest_train_00489.png,train_00489,1,0,True,dup_score=1.0000; nearest_cos_sim=0.9933; dup_source=phash
dup,28,train_00896,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank028_dup1p000_train_00896__nearest_train_00956.png,train_00956,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9559; dup_source=phash
dup,29,train_00881,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank029_dup1p000_train_00881__nearest_train_01191.png,train_01191,1,1,False,dup_score=1.0000; nearest_cos_sim=0.9985; dup_source=phash
dup,30,train_00878,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank030_dup1p000_train_00878__nearest_train_01152.png,train_01152,1,1,False,dup_score=1.0000; nearest_cos_sim=0.9977; dup_source=phash
dup,31,train_00867,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank031_dup1p000_train_00867__nearest_train_01068.png,train_01068,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9979; dup_source=phash
dup,32,train_00860,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank032_dup1p000_train_00860__nearest_train_00624.png,train_00624,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9867; dup_source=phash
dup,33,train_00821,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank033_dup1p000_train_00821__nearest_train_00140.png,train_00140,1,1,False,dup_score=1.0000; nearest_cos_sim=0.9871; dup_source=phash
dup,34,train_00956,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank034_dup1p000_train_00956__nearest_train_00896.png,train_00896,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9559; dup_source=phash
dup,35,train_00811,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank035_dup1p000_train_00811__nearest_train_01198.png,train_01198,1,1,False,dup_score=1.0000; nearest_cos_sim=0.9489; dup_source=phash
dup,36,train_00965,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank036_dup1p000_train_00965__nearest_train_01161.png,train_01161,1,1,False,dup_score=1.0000; nearest_cos_sim=0.9971; dup_source=phash
dup,37,train_00782,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank037_dup1p000_train_00782__nearest_train_00082.png,train_00082,1,1,False,dup_score=1.0000; nearest_cos_sim=0.9915; dup_source=phash
dup,38,train_00670,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank038_dup1p000_train_00670__nearest_train_00984.png,train_00984,1,1,False,dup_score=1.0000; nearest_cos_sim=0.9865; dup_source=phash
dup,39,train_00770,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank039_dup1p000_train_00770__nearest_train_01238.png,train_01238,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9888; dup_source=phash
dup,40,train_00758,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank040_dup1p000_train_00758__nearest_train_01171.png,train_01171,1,1,False,dup_score=1.0000; nearest_cos_sim=0.9755; dup_source=phash
dup,41,train_00731,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank041_dup1p000_train_00731__nearest_train_01004.png,train_01004,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9989; dup_source=phash
dup,42,train_00712,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank042_dup1p000_train_00712__nearest_train_00195.png,train_00195,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9977; dup_source=phash
dup,43,train_00699,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank043_dup1p000_train_00699__nearest_train_00276.png,train_00276,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9796; dup_source=phash
dup,44,train_00692,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank044_dup1p000_train_00692__nearest_train_01315.png,train_01315,0,1,True,dup_score=1.0000; nearest_cos_sim=0.9685; dup_source=phash
dup,45,train_00685,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank045_dup1p000_train_00685__nearest_train_01209.png,train_01209,1,1,False,dup_score=1.0000; nearest_cos_sim=0.9948; dup_source=phash
dup,46,train_00673,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank046_dup1p000_train_00673__nearest_train_00635.png,train_00635,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9845; dup_source=phash
dup,47,train_00671,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank047_dup1p000_train_00671__nearest_train_01079.png,train_01079,1,1,False,dup_score=1.0000; nearest_cos_sim=0.9638; dup_source=phash
dup,48,train_00447,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank048_dup1p000_train_00447__nearest_train_00087.png,train_00087,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9984; dup_source=phash
dup,49,train_01135,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank049_dup1p000_train_01135__nearest_train_00048.png,train_00048,1,0,True,dup_score=1.0000; nearest_cos_sim=0.9978; dup_source=phash
dup,50,train_01151,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank050_dup1p000_train_01151__nearest_train_01215.png,train_01215,1,1,False,dup_score=1.0000; nearest_cos_sim=0.9526; dup_source=phash
dup,51,train_00258,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank051_dup1p000_train_00258__nearest_train_00605.png,train_00605,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9966; dup_source=phash
dup,52,train_00429,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank052_dup1p000_train_00429__nearest_train_00419.png,train_00419,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9949; dup_source=phash
dup,53,train_00229,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank053_dup1p000_train_00229__nearest_train_00476.png,train_00476,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9953; dup_source=phash
dup,54,train_00195,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank054_dup1p000_train_00195__nearest_train_00712.png,train_00712,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9977; dup_source=phash
dup,55,train_01238,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank055_dup1p000_train_01238__nearest_train_00770.png,train_00770,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9888; dup_source=phash
dup,56,train_00175,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank056_dup1p000_train_00175__nearest_train_00465.png,train_00465,1,1,False,dup_score=1.0000; nearest_cos_sim=0.9148; dup_source=phash
dup,57,train_01250,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank057_dup1p000_train_01250__nearest_train_00508.png,train_00508,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9506; dup_source=phash
dup,58,train_00140,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank058_dup1p000_train_00140__nearest_train_00821.png,train_00821,1,1,False,dup_score=1.0000; nearest_cos_sim=0.9871; dup_source=phash
dup,59,train_01315,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank059_dup1p000_train_01315__nearest_train_00692.png,train_00692,1,0,True,dup_score=1.0000; nearest_cos_sim=0.9685; dup_source=phash
dup,60,train_00134,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank060_dup1p000_train_00134__nearest_train_00348.png,train_00348,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9959; dup_source=phash
dup,61,train_01325,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank061_dup1p000_train_01325__nearest_train_00664.png,train_00664,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9874; dup_source=phash
dup,62,train_00126,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank062_dup1p000_train_00126__nearest_train_01343.png,train_01343,0,1,True,dup_score=1.0000; nearest_cos_sim=0.9724; dup_source=phash
dup,63,train_00124,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank063_dup1p000_train_00124__nearest_train_00420.png,train_00420,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9937; dup_source=phash
dup,64,train_01326,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank064_dup1p000_train_01326__nearest_train_00671.png,train_00671,1,1,False,dup_score=1.0000; nearest_cos_sim=0.9976; dup_source=phash
dup,65,train_00087,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank065_dup1p000_train_00087__nearest_train_00447.png,train_00447,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9984; dup_source=phash
dup,66,train_00082,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank066_dup1p000_train_00082__nearest_train_00782.png,train_00782,1,1,False,dup_score=1.0000; nearest_cos_sim=0.9915; dup_source=phash
dup,67,train_01343,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank067_dup1p000_train_01343__nearest_train_00126.png,train_00126,1,0,True,dup_score=1.0000; nearest_cos_sim=0.9724; dup_source=phash
dup,68,train_00060,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank068_dup1p000_train_00060__nearest_train_00288.png,train_00288,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9997; dup_source=phash
dup,69,train_00048,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank069_dup1p000_train_00048__nearest_train_01135.png,train_01135,0,1,True,dup_score=1.0000; nearest_cos_sim=0.9978; dup_source=phash
dup,70,train_00042,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank070_dup1p000_train_00042__nearest_train_01118.png,train_01118,0,1,True,dup_score=1.0000; nearest_cos_sim=0.9954; dup_source=phash
dup,71,train_00028,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank071_dup1p000_train_00028__nearest_train_00580.png,train_00580,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9429; dup_source=phash
dup,72,train_00027,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank072_dup1p000_train_00027__nearest_train_00502.png,train_00502,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9908; dup_source=phash
dup,73,train_00255,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank073_dup1p000_train_00255__nearest_train_01038.png,train_01038,1,1,False,dup_score=1.0000; nearest_cos_sim=0.9767; dup_source=phash
dup,74,train_01215,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank074_dup1p000_train_01215__nearest_train_01151.png,train_01151,1,1,False,dup_score=1.0000; nearest_cos_sim=0.9526; dup_source=phash
dup,75,train_01209,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank075_dup1p000_train_01209__nearest_train_00685.png,train_00685,1,1,False,dup_score=1.0000; nearest_cos_sim=0.9948; dup_source=phash
dup,76,train_01191,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank076_dup1p000_train_01191__nearest_train_00881.png,train_00881,1,1,False,dup_score=1.0000; nearest_cos_sim=0.9985; dup_source=phash
dup,77,train_00420,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank077_dup1p000_train_00420__nearest_train_00124.png,train_00124,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9937; dup_source=phash
dup,78,train_00419,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank078_dup1p000_train_00419__nearest_train_00429.png,train_00429,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9949; dup_source=phash
dup,79,train_01152,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank079_dup1p000_train_01152__nearest_train_00878.png,train_00878,1,1,False,dup_score=1.0000; nearest_cos_sim=0.9977; dup_source=phash
dup,80,train_00408,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank080_dup1p000_train_00408__nearest_train_00597.png,train_00597,0,1,True,dup_score=1.0000; nearest_cos_sim=0.9984; dup_source=phash
dup,81,train_01161,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank081_dup1p000_train_01161__nearest_train_00965.png,train_00965,1,1,False,dup_score=1.0000; nearest_cos_sim=0.9971; dup_source=phash
dup,82,train_00401,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank082_dup1p000_train_00401__nearest_train_00495.png,train_00495,1,1,False,dup_score=1.0000; nearest_cos_sim=0.9448; dup_source=phash
dup,83,train_00348,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank083_dup1p000_train_00348__nearest_train_00134.png,train_00134,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9959; dup_source=phash
dup,84,train_01171,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank084_dup1p000_train_01171__nearest_train_00758.png,train_00758,1,1,False,dup_score=1.0000; nearest_cos_sim=0.9755; dup_source=phash
dup,85,train_01198,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank085_dup1p000_train_01198__nearest_train_00811.png,train_00811,1,1,False,dup_score=1.0000; nearest_cos_sim=0.9489; dup_source=phash
dup,86,train_00276,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank086_dup1p000_train_00276__nearest_train_00699.png,train_00699,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9796; dup_source=phash
dup,87,train_01202,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank087_dup1p000_train_01202__nearest_train_01075.png,train_01075,1,1,False,dup_score=1.0000; nearest_cos_sim=0.9835; dup_source=phash
dup,88,train_00288,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank088_dup1p000_train_00288__nearest_train_00060.png,train_00060,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9997; dup_source=phash
dup,89,train_00274,1.0,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank089_dup1p000_train_00274__nearest_train_01142.png,train_01142,0,0,False,dup_score=1.0000; nearest_cos_sim=0.9953; dup_source=phash
dup,90,train_00909,0.5625,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank090_dup0p562_train_00909__nearest_train_00341.png,train_00341,1,1,False,dup_score=0.5625; nearest_cos_sim=0.9692; dup_source=phash
dup,91,train_01128,0.5625,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank091_dup0p562_train_01128__nearest_train_01061.png,train_01061,1,1,False,dup_score=0.5625; nearest_cos_sim=0.9906; dup_source=phash
dup,92,train_00953,0.5625,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank092_dup0p562_train_00953__nearest_train_01355.png,train_01355,0,0,False,dup_score=0.5625; nearest_cos_sim=0.9695; dup_source=phash
dup,93,train_01234,0.5625,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank093_dup0p562_train_01234__nearest_train_00115.png,train_00115,1,1,False,dup_score=0.5625; nearest_cos_sim=0.9915; dup_source=phash
dup,94,train_01190,0.5625,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank094_dup0p562_train_01190__nearest_train_01098.png,train_01098,1,1,False,dup_score=0.5625; nearest_cos_sim=0.9986; dup_source=phash
dup,95,train_01185,0.5625,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank095_dup0p562_train_01185__nearest_train_00581.png,train_00581,0,0,False,dup_score=0.5625; nearest_cos_sim=0.9730; dup_source=phash
dup,96,train_01098,0.5625,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank096_dup0p562_train_01098__nearest_train_01190.png,train_01190,1,1,False,dup_score=0.5625; nearest_cos_sim=0.9986; dup_source=phash
dup,97,train_01336,0.5625,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank097_dup0p562_train_01336__nearest_train_00473.png,train_00473,0,0,False,dup_score=0.5625; nearest_cos_sim=0.9810; dup_source=phash
dup,98,train_01249,0.5625,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/outputs/trackB_070102/outliers/dup_pairs/rank098_dup0p562_train_01249__nearest_train_00098.png,train_00098,0,0,False,dup_score=0.5625; nearest_cos_sim=0.9715; dup_source=phash
